,BIRTH_DATE,HIST_RETENTION_WEEK,UNIT_TYPE,SERIAL_NUM,TRANS_SEQ,START_DATE,EVENT_DATE,EQUIP_TYPE,EQUIP_ID,LOC_ID,SLOT,OPERATION,RUN_TYPE,EVENT_STATUS,EMP_NUM,EFLAGS,UFLAGS,PART_NUM,BUILD_GROUP,FISCAL_DATE,SHIFT_NUM,SHIFT_HOUR,SITE_LOC,SOFT_REV,SETUP_FILE
0,2024-07-02,52,CET,B040273T,1967.0,2024-08-21 23:34:29,2024-08-21 23:34:29,ZCL,ZCL104,B82,1,CUMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
1,2024-07-02,52,CET,B040273T,1966.0,2024-08-21 23:34:05,2024-08-21 23:34:05,50,ZCR104,AUTO,1003030,COMET,NBR,P,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
2,2024-07-02,52,CET,B040273T,1965.0,2024-08-21 23:27:14,2024-08-21 23:27:14,50,ZCR104,AUTO,1003030,COMET,NBR,S,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
3,2024-07-02,52,CET,B040273T,1964.0,2024-08-21 23:26:50,2024-08-21 23:26:50,ZCL,ZCL104,B82,1,PLID,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
4,2024-07-02,52,CET,B040273T,1963.0,2024-08-21 23:26:46,2024-08-21 23:26:46,ZCL,ZCL104,B82,1,CLMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
5,2024-07-02,52,CET,B040273T,1962.0,2024-08-21 23:26:41,2024-08-21 23:26:41,ZCL,ZCL104,B82,1,CUMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
6,2024-07-02,52,CET,B040273T,1961.0,2024-08-21 23:26:17,2024-08-21 23:26:17,50,ZCR104,AUTO,1003030,COMET,NBR,P,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
7,2024-07-02,52,CET,B040273T,1960.0,2024-08-21 23:20:03,2024-08-21 23:20:03,50,ZCR104,AUTO,1003030,COMET,NBR,S,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
8,2024-07-02,52,CET,B040273T,1959.0,2024-08-21 23:19:35,2024-08-21 23:19:35,ZCL,ZCL104,B82,1,PLID,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
9,2024-07-02,52,CET,B040273T,1958.0,2024-08-21 23:19:32,2024-08-21 23:19:32,ZCL,ZCL104,B82,1,CLMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
10,2024-07-02,52,CET,B040273T,1957.0,2024-08-21 23:19:27,2024-08-21 23:19:27,ZCL,ZCL104,B82,1,CUMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
11,2024-07-02,52,CET,B040273T,1956.0,2024-08-21 23:19:07,2024-08-21 23:19:07,50,ZCR104,AUTO,1002100,COMET,NBR,P,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
12,2024-07-02,52,CET,B040273T,1955.0,2024-08-21 23:13:16,2024-08-21 23:13:16,50,ZCR104,AUTO,1002100,COMET,NBR,S,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
13,2024-07-02,52,CET,B040273T,1954.0,2024-08-21 23:12:53,2024-08-21 23:12:53,ZCL,ZCL104,B82,1,PLID,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
14,2024-07-02,52,CET,B040273T,1953.0,2024-08-21 23:12:50,2024-08-21 23:12:50,ZCL,ZCL104,B82,1,CLMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
15,2024-07-02,52,CET,B040273T,1952.0,2024-08-21 23:12:45,2024-08-21 23:12:45,ZCL,ZCL104,B82,1,CUMD,NBR,P,31415,Rr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
16,2024-07-02,52,CET,B040273T,1951.0,2024-08-21 23:12:23,2024-08-21 23:12:23,50,ZCR104,AUTO,1003110,COMET,NBR,P,AUTO,PiMlRr,PrSb,?,NEW,2024-08-22,1,1,?,?,?
